SampleID,BatchID,HashTag,PoolID,WellID
PB5206W2,X000,HT1,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB5206W3,X000,HT2,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB5206W4,X000,HT3,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB5206W5,X000,HT4,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB5206W6,X000,HT5,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB5206W7,X000,HT6,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB7626W2,X000,HT7,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB7626W3,X000,HT8,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB7626W4,X000,HT9,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB7626W5,X000,HT10,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB7626W6,X000,HT12,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
PB7626W7,X000,HT13,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
IMM19-711,X000,HT14,X000_P1,P1C1W1; P1C1W2;P1C1W3; P1C1W4;P1C1W5; P1C1W6;P1C1W7; P1C1W8;P1C2W1;P1C2W2;P1C2W3;P1C2W4;P1C2W5
