SampleID,Type,BatchID,HashTag,PoolID,WellID
IMM00-002 ,Control,T001,HT15,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S02,Sample,T001,HT1,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S03,Sample,T001,HT2,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S04,Sample,T001,HT3,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S05,Sample,T001,HT4,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S06,Sample,T001,HT5,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S07,Sample,T001,HT6,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S08,Sample,T001,HT7,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S09,Sample,T001,HT8,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S10,Sample,T001,HT9,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S11,Sample,T001,HT10,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
S12,Sample,T001,HT12,T001_P1,T001-P1C1W1; T001-P1C1W2;T001-P1C1W3; T001-P1C1W4;T001-P1C1W5; T001-P1C1W6;T001-P1C1W7; T001-P1C1W8;T001-P1C2W1;T001-P1C2W2;T001-P1C2W3;T001-P1C2W4
IMM00-002 ,Control,T001,HT15,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S14,Sample,T001,HT1,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S15,Sample,T001,HT2,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S16,Sample,T001,HT3,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S17,Sample,T001,HT4,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S18,Sample,T001,HT5,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S19,Sample,T001,HT6,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S20,Sample,T001,HT7,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S21,Sample,T001,HT8,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S22,Sample,T001,HT9,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S23,Sample,T001,HT10,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
S24,Sample,T001,HT12,T001_P2,T001-P2C2W5;T001-P2C2W6;T001-P2C2W7;T001-P2C2W8;T001-P2C3W1;T001-P2C3W2;T001-P2C3W3;T001-P2C3W4;T001-P2C3W5;T001-P2C3W6;T001-P2C3W7;T001-P2C3W8
